architecture,seed,test_loss
mlp_3x_252x32x16,1,0.08733116456270218
mlp_3x_252x32x16,2,0.08259925018548965
mlp_3x_252x32x16,3,0.08672877383232117
mlp_3x_252x32x16,4,0.0812172233581543
mlp_3x_252x32x16,5,0.08592928647994995
mlp_3x_248x32x92,1,0.0813133980512619
mlp_3x_248x32x92,2,0.08163681166172028
mlp_3x_248x32x92,3,0.07884757735729217
mlp_3x_248x32x92,4,0.07902412188053132
mlp_3x_248x32x92,5,0.08010119543075561
mlp_3x_244x48x56,1,0.07749726111888885
mlp_3x_244x48x56,2,0.07670901048183441
mlp_3x_244x48x56,3,0.07718102655410766
mlp_3x_244x48x56,4,0.08048441753387452
mlp_3x_244x48x56,5,0.07609611189365387
mlp_3x_216x120x84,1,0.07630757063627243
mlp_3x_216x120x84,2,0.07828691735267639
mlp_3x_216x120x84,3,0.08031281609535218
mlp_3x_216x120x84,4,0.07787153173685074
mlp_3x_216x120x84,5,0.07479911714792252
mlp_3x_188x192x112,1,0.07817567040920258
mlp_3x_188x192x112,2,0.07641848711967468
mlp_3x_188x192x112,3,0.07660669493675232
mlp_3x_188x192x112,4,0.07552677834033966
mlp_3x_188x192x112,5,0.07782342419624329
mlp_3x_160x264x140,1,0.08253548237085342
mlp_3x_160x264x140,2,0.0782512417793274
mlp_3x_160x264x140,3,0.08298925683498383
mlp_3x_160x264x140,4,0.07564389116764068
mlp_3x_160x264x140,5,0.08100151305198669
mlp_3x_160x204x224,1,0.07897533135414124
mlp_3x_160x204x224,2,0.08215409789085389
mlp_3x_160x204x224,3,0.08128140279054642
mlp_3x_160x204x224,4,0.07574873098134995
mlp_3x_160x204x224,5,0.07935618407726287
mlp_3x_120x204x408,1,0.08448744525909424
mlp_3x_120x204x408,2,0.08412042965888977
mlp_3x_120x204x408,3,0.08402315708398819
mlp_3x_120x204x408,4,0.08224352836608886
mlp_3x_120x204x408,5,0.08651487970352173
